sequence number,RSSI,send time,received time,received date,delay,content
1,-89,1680070007552,1680070014263,14:06:54,6711,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-103.80 RSRQ:-8.80 TAC:616 Id:440 EARFCN:1209 PWR:-87.22 PAGING:256 CID:0xB169624 BAND:3 BW:20000
2,-87,1680070036049,1680070042525,14:07:22,6476,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-103.10 RSRQ:-7.00 TAC:616 Id:440 EARFCN:1209 PWR:-88.32 PAGING:256 CID:0xB169624 BAND:3 BW:20000
3,-87,1680070064547,1680070070684,14:07:50,6137,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-102.20 RSRQ:-7.90 TAC:616 Id:440 EARFCN:1209 PWR:-86.52 PAGING:256 CID:0xB169624 BAND:3 BW:20000
4,-87,1680070093044,1680070098847,14:08:18,5803,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-101.60 RSRQ:-6.60 TAC:616 Id:440 EARFCN:1209 PWR:-87.22 PAGING:256 CID:0xB169624 BAND:3 BW:20000
5,-87,1680070121541,1680070127657,14:08:47,6116,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-101.20 RSRQ:-7.00 TAC:616 Id:440 EARFCN:1209 PWR:-86.42 PAGING:256 CID:0xB169624 BAND:3 BW:20000
6,-87,1680070150039,1680070155825,14:09:15,5786,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-102.40 RSRQ:-8.50 TAC:616 Id:440 EARFCN:1209 PWR:-86.12 PAGING:256 CID:0xB169624 BAND:3 BW:20000
7,-91,1680070178536,1680070183964,14:09:43,5428,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-103.50 RSRQ:-9.60 TAC:616 Id:440 EARFCN:1209 PWR:-86.12 PAGING:256 CID:0xB169624 BAND:3 BW:20000
8,-89,1680070207036,1680070212764,14:10:12,5728,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-106.20 RSRQ:-10.20 TAC:616 Id:440 EARFCN:1209 PWR:-88.22 PAGING:256 CID:0xB169624 BAND:3 BW:20000
9,-91,1680070235534,1680070240924,14:10:40,5390,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-106.10 RSRQ:-9.40 TAC:616 Id:440 EARFCN:1209 PWR:-88.92 PAGING:256 CID:0xB169624 BAND:3 BW:20000
10,-89,1680070264033,1680070270363,14:11:10,6330,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-105.00 RSRQ:-8.30 TAC:616 Id:440 EARFCN:1209 PWR:-88.92 PAGING:256 CID:0xB169624 BAND:3 BW:20000
