sequence number,RSSI,send time,content
1,-61,16:00:08,$00169#00000001#-061#1680076808033#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-85.80 RSRQ:-15.90 TAC:611 Id:489 EARFCN:1209 PWR:-62.12 PAGING:256 CID:0xB61FA23 BAND:3 BW:20000?
2,-51,16:00:36,$00169#00000002#-051#1680076836532#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-74.20 RSRQ:-30.50 TAC:641 Id:101 EARFCN:3716 PWR:-35.92 PAGING:256 CID:0xB24CE25 BAND:8 BW:20000?
3,-71,16:01:05,$00169#00000003#-071#1680076865039#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-95.90 RSRQ:-20.90 TAC:641 Id:273 EARFCN:3716 PWR:-67.22 PAGING:256 CID:0xB24CE27 BAND:8 BW:20000?
4,-51,16:01:33,$00169#00000004#-051#1680076893549#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-94.10 RSRQ:-33.80 TAC:609 Id:125 EARFCN:3716 PWR:-52.52 PAGING:256 CID:0xB51EC26 BAND:8 BW:20000?
5,-67,16:02:02,$00156#00000005#-067#1680076922054#+SQNMONI: Cc: Nc: RSRP:-94.10 RSRQ:-33.80 TAC:641 Id:114 EARFCN:3716 PWR:-52.52 PAGING:256 CID:0xB266827 BAND:8 BW:20000?
6,-71,16:02:30,$00155#00000006#-071#1680076950553#+SQNMONI: Cc: Nc: RSRP:-94.10 RSRQ:-33.80 TAC:638 Id:25 EARFCN:3716 PWR:-52.52 PAGING:256 CID:0xB5DD625 BAND:8 BW:20000?
7,-63,16:02:59,$00167#00000007#-063#1680076979052#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.90 RSRQ:-9.70 TAC:638 Id:71 EARFCN:3716 PWR:-69.42 PAGING:256 CID:0xB265E27 BAND:8 BW:20000?
8,-65,16:03:27,$00171#00000008#-065#1680077007562#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-180.10 RSRQ:-108.80 TAC:638 Id:486 EARFCN:3716 PWR:-63.52 PAGING:256 CID:0xB261826 BAND:8 BW:20000?
9,85,16:03:56,$00156#00000009#0085#1680077036063#+SQNMONI: Cc: Nc: RSRP:-79.80 RSRQ:-13.80 TAC:638 Id:148 EARFCN:3716 PWR:-58.22 PAGING:256 CID:0xB630826 BAND:8 BW:20000?
10,-63,16:04:24,$00169#00000010#-063#1680077064568#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-89.70 RSRQ:-18.30 TAC:638 Id:260 EARFCN:3716 PWR:-63.62 PAGING:256 CID:0xB5ADE26 BAND:8 BW:20000?
11,-61,16:04:53,$00168#00000011#-061#1680077093069#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-77.90 RSRQ:-7.50 TAC:638 Id:455 EARFCN:3716 PWR:-62.62 PAGING:256 CID:0xB5E0827 BAND:8 BW:20000?
12,-71,16:05:21,$00169#00000012#-071#1680077121570#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-92.80 RSRQ:-14.10 TAC:638 Id:322 EARFCN:1209 PWR:-70.92 PAGING:256 CID:0xB42C423 BAND:3 BW:20000?
13,-63,16:05:50,$00171#00000013#-063#1680077150055#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-180.10 RSRQ:-111.20 TAC:608 Id:482 EARFCN:3716 PWR:-61.12 PAGING:256 CID:0xB26E025 BAND:8 BW:20000?
14,-55,16:06:18,$00158#00000014#-055#1680077178547#+SQNMONI: Cc: Nc: RSRP:-180.10 RSRQ:-111.20 TAC:608 Id:388 EARFCN:1209 PWR:-61.12 PAGING:256 CID:0xB26C224 BAND:3 BW:20000?
15,-61,16:06:47,$00168#00000015#-061#1680077207047#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-78.80 RSRQ:-7.90 TAC:608 Id:111 EARFCN:3716 PWR:-63.12 PAGING:256 CID:0xB200927 BAND:8 BW:20000?
16,-73,16:07:15,$00169#00000016#-073#1680077235552#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-87.70 RSRQ:-11.00 TAC:608 Id:111 EARFCN:3716 PWR:-68.92 PAGING:256 CID:0xB200927 BAND:8 BW:20000?
17,-71,16:07:44,$00168#00000017#-071#1680077264035#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-98.90 RSRQ:-17.70 TAC:608 Id:69 EARFCN:3716 PWR:-73.42 PAGING:256 CID:0xB5AFC27 BAND:8 BW:20000?
18,-65,16:08:12,$00168#00000018#-065#1680077292534#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-76.00 RSRQ:-6.50 TAC:608 Id:473 EARFCN:3716 PWR:-61.72 PAGING:256 CID:0xB4CF625 BAND:8 BW:20000?
19,-63,16:08:41,$00168#00000019#-063#1680077321036#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-80.50 RSRQ:-9.50 TAC:608 Id:473 EARFCN:3716 PWR:-63.22 PAGING:256 CID:0xB4CF625 BAND:8 BW:20000?
20,-71,16:09:09,$00169#00000020#-071#1680077349519#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-91.20 RSRQ:-12.30 TAC:608 Id:473 EARFCN:3716 PWR:-71.12 PAGING:256 CID:0xB4CF625 BAND:8 BW:20000?
21,-75,16:09:38,$00170#00000021#-075#1680077378018#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-103.00 RSRQ:-22.50 TAC:608 Id:473 EARFCN:3716 PWR:-72.72 PAGING:256 CID:0xB4CF625 BAND:8 BW:20000?
22,-73,16:10:06,$00168#00000022#-073#1680077406521#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-92.40 RSRQ:-9.90 TAC:608 Id:494 EARFCN:3716 PWR:-74.72 PAGING:256 CID:0xB51CE25 BAND:8 BW:20000?
