sequence number,RSSI,send time,content
1,85,17:01:00,$00167#00000001#0085#1693040460286#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-89.50 RSRQ:-6.70 TAC:616 Id:20 EARFCN:3716 PWR:-75.02 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
2,-77,17:01:18,$00167#00000002#-077#1693040478789#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-91.40 RSRQ:-9.40 TAC:616 Id:20 EARFCN:3716 PWR:-74.22 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
3,-75,17:01:37,$00167#00000003#-075#1693040497290#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-92.80 RSRQ:-9.00 TAC:616 Id:20 EARFCN:3716 PWR:-76.02 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
4,-75,17:01:55,$00167#00000004#-075#1693040515790#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.40 RSRQ:-9.10 TAC:616 Id:20 EARFCN:3716 PWR:-71.52 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
5,-71,17:02:14,$00167#00000005#-071#1693040534288#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.30 RSRQ:-9.30 TAC:616 Id:20 EARFCN:3716 PWR:-71.22 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
6,-71,17:02:32,$00167#00000006#-071#1693040552791#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-87.00 RSRQ:-8.60 TAC:616 Id:20 EARFCN:3716 PWR:-70.62 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
7,-73,17:02:51,$00167#00000007#-073#1693040571290#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-87.90 RSRQ:-8.70 TAC:616 Id:20 EARFCN:3716 PWR:-71.42 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
8,-77,17:03:09,$00167#00000008#-077#1693040589790#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-90.60 RSRQ:-9.20 TAC:616 Id:20 EARFCN:3716 PWR:-73.62 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
9,-77,17:03:28,$00167#00000009#-077#1693040608294#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-90.50 RSRQ:-9.80 TAC:616 Id:20 EARFCN:3716 PWR:-72.92 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
10,-75,17:03:46,$00167#00000010#-075#1693040626795#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-90.00 RSRQ:-9.10 TAC:616 Id:20 EARFCN:3716 PWR:-73.12 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
